DATE,Tun
11/09/2014,-0.0008955
12/09/2014,-0.0043879
15/09/2014,-0.0014048
16/09/2014,-0.0028353
17/09/2014,0.0006733
18/09/2014,-0.0010519
19/09/2014,0.0016747
23/09/2014,0.0049086
24/09/2014,-0.0010767
25/09/2014,-0.0000648
26/09/2014,-0.0054226
29/09/2014,-0.0027428
30/09/2014,-0.0009689
01/10/2014,0.0001726
02/10/2014,-0.0003338
03/10/2014,0.0013313
07/10/2014,0.000289
08/10/2014,-0.0006523
09/10/2014,0.0008945
10/10/2014,0.0018377
14/10/2014,0.0016851
16/10/2014,-0.0000362
17/10/2014,-0.0010519
21/10/2014,0.0011864
22/10/2014,-0.0017385
27/10/2014,0.0153151
28/10/2014,0.0161505
29/10/2014,-0.0022364
30/10/2014,0.0152197
31/10/2014,0.017807
03/11/2014,0.0133514
04/11/2014,0.0011024
05/11/2014,0.0044451
06/11/2014,0.0035315
07/11/2014,-0.0028772
10/11/2014,-0.0019703
12/11/2014,-0.0023117
13/11/2014,-0.008976
14/11/2014,-0.0060253
17/11/2014,0.0014381
19/11/2014,-0.0004969
20/11/2014,0.00525
21/11/2014,0.0068827
24/11/2014,0.0051222
25/11/2014,0.0000143
26/11/2014,-0.0040674
28/11/2014,-0.0013933
01/12/2014,-0.0003681
02/12/2014,-0.0011683
03/12/2014,0.0032215
08/12/2014,-0.0025768
09/12/2014,-0.0037289
11/12/2014,-0.0001135
15/12/2014,0.0035505
16/12/2014,0.0015507
17/12/2014,0.0100613
18/12/2014,0.0144911
19/12/2014,0.0059872
22/12/2014,0.0060196
23/12/2014,-0.0098248
24/12/2014,-0.0035706
29/12/2014,0.0010977
30/12/2014,0.002676
31/12/2014,-0.0037298
05/01/2015,0.00035
06/01/2015,-0.0043144
07/01/2015,-0.001503
09/01/2015,0.0001469
12/01/2015,0.0130854
13/01/2015,0.0001287
15/01/2015,-0.0037966
16/01/2015,0.0073195
20/01/2015,0.0033751
21/01/2015,-0.0005941
22/01/2015,-0.0010796
23/01/2015,0.0022011
27/01/2015,0.0004101
28/01/2015,-0.0010633
29/01/2015,0.0099678
30/01/2015,0.0032139
02/02/2015,0.0098886
05/02/2015,0.006176
